well_96,source_plate,Quadrant,well_384,sample_id,sample_type
H4,P1,Q1,O7,CLIN-0084,sample
H5,P1,Q1,O9,CLIN-0085,sample
H6,P1,Q1,O11,CLIN-0086,sample
H7,P1,Q1,O13,CLIN-0087,sample
H8,P1,Q1,O15,CLIN-0088,sample
H9,P1,Q1,O17,CLIN-0089,sample
A1,P2,Q2,A2,BLANK_P2_97,blank
A10,P2,Q2,A20,CLIN-0100,sample
A11,P2,Q2,A22,CLIN-0101,sample
A12,P2,Q2,A24,CLIN-0102,sample
A2,P2,Q2,A4,BLANK_P2_98,blank
A3,P2,Q2,A6,CLIN-0093,sample
A4,P2,Q2,A8,CLIN-0094,sample
A5,P2,Q2,A10,CLIN-0095,sample
A6,P2,Q2,A12,CLIN-0096,sample
A7,P2,Q2,A14,CLIN-0097,sample
A8,P2,Q2,A16,CLIN-0098,sample
A9,P2,Q2,A18,CLIN-0099,sample
B1,P2,Q2,C2,POOL_P2_109,pool
B10,P2,Q2,C20,CLIN-0110,sample
B11,P2,Q2,C22,CLIN-0111,sample
B12,P2,Q2,C24,CLIN-0112,sample
B2,P2,Q2,C4,POOL_P2_110,pool
B3,P2,Q2,C6,CLIN-0103,sample
B4,P2,Q2,C8,CLIN-0104,sample
B5,P2,Q2,C10,CLIN-0105,sample
B6,P2,Q2,C12,CLIN-0106,sample
B7,P2,Q2,C14,CLIN-0107,sample
B8,P2,Q2,C16,CLIN-0108,sample
B9,P2,Q2,C18,CLIN-0109,sample
C1,P2,Q2,E2,CLIN-0113,sample
C10,P2,Q2,E20,CLIN-0122,sample
C11,P2,Q2,E22,CLIN-0123,sample
C12,P2,Q2,E24,CLIN-0124,sample
C2,P2,Q2,E4,CLIN-0114,sample
C3,P2,Q2,E6,CLIN-0115,sample
C4,P2,Q2,E8,CLIN-0116,sample
C5,P2,Q2,E10,CLIN-0117,sample
C6,P2,Q2,E12,CLIN-0118,sample
C7,P2,Q2,E14,CLIN-0119,sample
C8,P2,Q2,E16,CLIN-0120,sample
C9,P2,Q2,E18,CLIN-0121,sample
D1,P2,Q2,G2,CLIN-0125,sample
D10,P2,Q2,G20,CLIN-0134,sample
D11,P2,Q2,G22,CLIN-0135,sample
D12,P2,Q2,G24,CLIN-0136,sample
D2,P2,Q2,G4,CLIN-0126,sample
D3,P2,Q2,G6,CLIN-0127,sample
D4,P2,Q2,G8,CLIN-0128,sample
D5,P2,Q2,G10,CLIN-0129,sample
D6,P2,Q2,G12,CLIN-0130,sample
D7,P2,Q2,G14,CLIN-0131,sample
D8,P2,Q2,G16,CLIN-0132,sample
D9,P2,Q2,G18,CLIN-0133,sample
E1,P2,Q2,I2,CLIN-0137,sample
E10,P2,Q2,I20,CLIN-0146,sample
E11,P2,Q2,I22,CLIN-0147,sample
E12,P2,Q2,I24,CLIN-0148,sample
E2,P2,Q2,I4,CLIN-0138,sample
E3,P2,Q2,I6,CLIN-0139,sample
E4,P2,Q2,I8,CLIN-0140,sample
E5,P2,Q2,I10,CLIN-0141,sample
E6,P2,Q2,I12,CLIN-0142,sample
E7,P2,Q2,I14,CLIN-0143,sample
E8,P2,Q2,I16,CLIN-0144,sample
E9,P2,Q2,I18,CLIN-0145,sample
F1,P2,Q2,K2,CLIN-0149,sample
F10,P2,Q2,K20,CLIN-0158,sample
F11,P2,Q2,K22,CLIN-0159,sample
F12,P2,Q2,K24,CLIN-0160,sample
F2,P2,Q2,K4,CLIN-0150,sample
F3,P2,Q2,K6,CLIN-0151,sample
F4,P2,Q2,K8,CLIN-0152,sample
F5,P2,Q2,K10,CLIN-0153,sample
F6,P2,Q2,K12,CLIN-0154,sample
F7,P2,Q2,K14,CLIN-0155,sample
F8,P2,Q2,K16,CLIN-0156,sample
F9,P2,Q2,K18,CLIN-0157,sample
G1,P2,Q2,M2,CLIN-0161,sample
G10,P2,Q2,M20,CLIN-0170,sample
G11,P2,Q2,M22,CLIN-0171,sample
G12,P2,Q2,M24,CLIN-0172,sample
G2,P2,Q2,M4,CLIN-0162,sample
G3,P2,Q2,M6,CLIN-0163,sample
G4,P2,Q2,M8,CLIN-0164,sample
G5,P2,Q2,M10,CLIN-0165,sample
G6,P2,Q2,M12,CLIN-0166,sample
G7,P2,Q2,M14,CLIN-0167,sample
G8,P2,Q2,M16,CLIN-0168,sample
G9,P2,Q2,M18,CLIN-0169,sample
H1,P2,Q2,O2,CLIN-0173,sample
H10,P2,Q2,O20,CLIN-0182,sample
H11,P2,Q2,O22,CLIN-0183,sample
H12,P2,Q2,O24,CLIN-0184,sample
H2,P2,Q2,O4,CLIN-0174,sample
H3,P2,Q2,O6,CLIN-0175,sample
H4,P2,Q2,O8,CLIN-0176,sample
H5,P2,Q2,O10,CLIN-0177,sample
H6,P2,Q2,O12,CLIN-0178,sample
H7,P2,Q2,O14,CLIN-0179,sample
H8,P2,Q2,O16,CLIN-0180,sample
H9,P2,Q2,O18,CLIN-0181,sample
A1,P3,Q3,B1,BLANK_P3_193,blank
A10,P3,Q3,B19,CLIN-0192,sample
A11,P3,Q3,B21,CLIN-0193,sample
A12,P3,Q3,B23,CLIN-0194,sample
A2,P3,Q3,B3,BLANK_P3_194,blank
A3,P3,Q3,B5,CLIN-0185,sample
A4,P3,Q3,B7,CLIN-0186,sample
A5,P3,Q3,B9,CLIN-0187,sample
A6,P3,Q3,B11,CLIN-0188,sample
A7,P3,Q3,B13,CLIN-0189,sample
A8,P3,Q3,B15,CLIN-0190,sample
A9,P3,Q3,B17,CLIN-0191,sample
B1,P3,Q3,D1,POOL_P3_205,pool
B10,P3,Q3,D19,CLIN-0202,sample
B11,P3,Q3,D21,CLIN-0203,sample
B12,P3,Q3,D23,CLIN-0204,sample
B2,P3,Q3,D3,POOL_P3_206,pool
B3,P3,Q3,D5,CLIN-0195,sample
B4,P3,Q3,D7,CLIN-0196,sample
B5,P3,Q3,D9,CLIN-0197,sample
B6,P3,Q3,D11,CLIN-0198,sample
B7,P3,Q3,D13,CLIN-0199,sample
B8,P3,Q3,D15,CLIN-0200,sample
B9,P3,Q3,D17,CLIN-0201,sample
C1,P3,Q3,F1,CLIN-0205,sample
C10,P3,Q3,F19,CLIN-0214,sample
C11,P3,Q3,F21,CLIN-0215,sample
C12,P3,Q3,F23,CLIN-0216,sample
C2,P3,Q3,F3,CLIN-0206,sample
C3,P3,Q3,F5,CLIN-0207,sample
C4,P3,Q3,F7,CLIN-0208,sample
C5,P3,Q3,F9,CLIN-0209,sample
C6,P3,Q3,F11,CLIN-0210,sample
C7,P3,Q3,F13,CLIN-0211,sample
C8,P3,Q3,F15,CLIN-0212,sample
C9,P3,Q3,F17,CLIN-0213,sample
D1,P3,Q3,H1,CLIN-0217,sample
D10,P3,Q3,H19,CLIN-0226,sample
D11,P3,Q3,H21,CLIN-0227,sample
D12,P3,Q3,H23,CLIN-0228,sample
D2,P3,Q3,H3,CLIN-0218,sample
D3,P3,Q3,H5,CLIN-0219,sample
D4,P3,Q3,H7,CLIN-0220,sample
D5,P3,Q3,H9,CLIN-0221,sample
D6,P3,Q3,H11,CLIN-0222,sample
D7,P3,Q3,H13,CLIN-0223,sample
D8,P3,Q3,H15,CLIN-0224,sample
D9,P3,Q3,H17,CLIN-0225,sample
E1,P3,Q3,J1,CLIN-0229,sample
E10,P3,Q3,J19,CLIN-0238,sample
E11,P3,Q3,J21,CLIN-0239,sample
E12,P3,Q3,J23,CLIN-0240,sample
E2,P3,Q3,J3,CLIN-0230,sample
E3,P3,Q3,J5,CLIN-0231,sample
E4,P3,Q3,J7,CLIN-0232,sample
E5,P3,Q3,J9,CLIN-0233,sample
E6,P3,Q3,J11,CLIN-0234,sample
E7,P3,Q3,J13,CLIN-0235,sample
E8,P3,Q3,J15,CLIN-0236,sample
E9,P3,Q3,J17,CLIN-0237,sample
F1,P3,Q3,L1,CLIN-0241,sample
F10,P3,Q3,L19,CLIN-0250,sample
F11,P3,Q3,L21,CLIN-0251,sample
F12,P3,Q3,L23,CLIN-0252,sample
F2,P3,Q3,L3,CLIN-0242,sample
F3,P3,Q3,L5,CLIN-0243,sample
F4,P3,Q3,L7,CLIN-0244,sample
F5,P3,Q3,L9,CLIN-0245,sample
F6,P3,Q3,L11,CLIN-0246,sample
F7,P3,Q3,L13,CLIN-0247,sample
F8,P3,Q3,L15,CLIN-0248,sample
F9,P3,Q3,L17,CLIN-0249,sample
G1,P3,Q3,N1,CLIN-0253,sample
G10,P3,Q3,N19,CLIN-0262,sample
G11,P3,Q3,N21,CLIN-0263,sample
G12,P3,Q3,N23,CLIN-0264,sample
G2,P3,Q3,N3,CLIN-0254,sample
G3,P3,Q3,N5,CLIN-0255,sample
G4,P3,Q3,N7,CLIN-0256,sample
G5,P3,Q3,N9,CLIN-0257,sample
G6,P3,Q3,N11,CLIN-0258,sample
G7,P3,Q3,N13,CLIN-0259,sample
G8,P3,Q3,N15,CLIN-0260,sample
G9,P3,Q3,N17,CLIN-0261,sample
H1,P3,Q3,P1,CLIN-0265,sample
H10,P3,Q3,P19,CLIN-0274,sample
H11,P3,Q3,P21,CLIN-0275,sample
H12,P3,Q3,P23,CLIN-0276,sample
H2,P3,Q3,P3,CLIN-0266,sample
H3,P3,Q3,P5,CLIN-0267,sample
H4,P3,Q3,P7,CLIN-0268,sample
H5,P3,Q3,P9,CLIN-0269,sample
H6,P3,Q3,P11,CLIN-0270,sample
H7,P3,Q3,P13,CLIN-0271,sample
H8,P3,Q3,P15,CLIN-0272,sample
H9,P3,Q3,P17,CLIN-0273,sample
A1,P4,Q4,B2,BLANK_P4_289,blank
A10,P4,Q4,B20,CLIN-0284,sample
A11,P4,Q4,B22,CLIN-0285,sample
A12,P4,Q4,B24,CLIN-0286,sample
A2,P4,Q4,B4,BLANK_P4_290,blank
A3,P4,Q4,B6,CLIN-0277,sample
A4,P4,Q4,B8,CLIN-0278,sample
A5,P4,Q4,B10,CLIN-0279,sample
A6,P4,Q4,B12,CLIN-0280,sample
A7,P4,Q4,B14,CLIN-0281,sample
A8,P4,Q4,B16,CLIN-0282,sample
A9,P4,Q4,B18,CLIN-0283,sample
B1,P4,Q4,D2,POOL_P4_301,pool
B10,P4,Q4,D20,CLIN-0294,sample
B11,P4,Q4,D22,CLIN-0295,sample
B12,P4,Q4,D24,CLIN-0296,sample
B2,P4,Q4,D4,POOL_P4_302,pool
B3,P4,Q4,D6,CLIN-0287,sample
B4,P4,Q4,D8,CLIN-0288,sample
B5,P4,Q4,D10,CLIN-0289,sample
B6,P4,Q4,D12,CLIN-0290,sample
B7,P4,Q4,D14,CLIN-0291,sample
B8,P4,Q4,D16,CLIN-0292,sample
B9,P4,Q4,D18,CLIN-0293,sample
C1,P4,Q4,F2,CLIN-0297,sample
C10,P4,Q4,F20,CLIN-0306,sample
C11,P4,Q4,F22,CLIN-0307,sample
C12,P4,Q4,F24,CLIN-0308,sample
C2,P4,Q4,F4,CLIN-0298,sample
C3,P4,Q4,F6,CLIN-0299,sample
C4,P4,Q4,F8,CLIN-0300,sample
C5,P4,Q4,F10,CLIN-0301,sample
C6,P4,Q4,F12,CLIN-0302,sample
C7,P4,Q4,F14,CLIN-0303,sample
C8,P4,Q4,F16,CLIN-0304,sample
C9,P4,Q4,F18,CLIN-0305,sample
D1,P4,Q4,H2,CLIN-0309,sample
D10,P4,Q4,H20,CLIN-0318,sample
D11,P4,Q4,H22,CLIN-0319,sample
D12,P4,Q4,H24,CLIN-0320,sample
D2,P4,Q4,H4,CLIN-0310,sample
D3,P4,Q4,H6,CLIN-0311,sample
D4,P4,Q4,H8,CLIN-0312,sample
D5,P4,Q4,H10,CLIN-0313,sample
D6,P4,Q4,H12,CLIN-0314,sample
D7,P4,Q4,H14,CLIN-0315,sample
D8,P4,Q4,H16,CLIN-0316,sample
D9,P4,Q4,H18,CLIN-0317,sample
E1,P4,Q4,J2,CLIN-0321,sample
E10,P4,Q4,J20,CLIN-0330,sample
E11,P4,Q4,J22,CLIN-0331,sample
E12,P4,Q4,J24,CLIN-0332,sample
E2,P4,Q4,J4,CLIN-0322,sample
E3,P4,Q4,J6,CLIN-0323,sample
E4,P4,Q4,J8,CLIN-0324,sample
E5,P4,Q4,J10,CLIN-0325,sample
E6,P4,Q4,J12,CLIN-0326,sample
E7,P4,Q4,J14,CLIN-0327,sample
E8,P4,Q4,J16,CLIN-0328,sample
E9,P4,Q4,J18,CLIN-0329,sample
F1,P4,Q4,L2,CLIN-0333,sample
F10,P4,Q4,L20,CLIN-0342,sample
F11,P4,Q4,L22,CLIN-0343,sample
F12,P4,Q4,L24,CLIN-0344,sample
F2,P4,Q4,L4,CLIN-0334,sample
F3,P4,Q4,L6,CLIN-0335,sample
F4,P4,Q4,L8,CLIN-0336,sample
F5,P4,Q4,L10,CLIN-0337,sample
F6,P4,Q4,L12,CLIN-0338,sample
F7,P4,Q4,L14,CLIN-0339,sample
F8,P4,Q4,L16,CLIN-0340,sample
F9,P4,Q4,L18,CLIN-0341,sample
G1,P4,Q4,N2,CLIN-0345,sample
G10,P4,Q4,N20,CLIN-0354,sample
G11,P4,Q4,N22,CLIN-0355,sample
G12,P4,Q4,N24,CLIN-0356,sample
G2,P4,Q4,N4,CLIN-0346,sample
G3,P4,Q4,N6,CLIN-0347,sample
G4,P4,Q4,N8,CLIN-0348,sample
G5,P4,Q4,N10,CLIN-0349,sample
G6,P4,Q4,N12,CLIN-0350,sample
G7,P4,Q4,N14,CLIN-0351,sample
G8,P4,Q4,N16,CLIN-0352,sample
G9,P4,Q4,N18,CLIN-0353,sample
H1,P4,Q4,P2,CLIN-0357,sample
H10,P4,Q4,P20,CLIN-0366,sample
H11,P4,Q4,P22,CLIN-0367,sample
H12,P4,Q4,P24,CLIN-0368,sample
H2,P4,Q4,P4,CLIN-0358,sample
H3,P4,Q4,P6,CLIN-0359,sample
H4,P4,Q4,P8,CLIN-0360,sample
H5,P4,Q4,P10,CLIN-0361,sample
H6,P4,Q4,P12,CLIN-0362,sample
H7,P4,Q4,P14,CLIN-0363,sample
H8,P4,Q4,P16,CLIN-0364,sample
H9,P4,Q4,P18,CLIN-0365,sample
